rank,ticker,1DWins,3DWins,5DWins,10DWins,20DWins,5WWins,6WWins,9WWins,12WWins,1DValid,3DValid,5DValid,10DValid,20DValid,5WValid,6WValid,9WValid,12WValid,1DWinRate,3DWinRate,5DWinRate,10DWinRate,20DWinRate,5WWinRate,6WWinRate,9WWinRate,12WWinRate
SUM,Fixed List Total,6,20,35,63,122,154,188,262,345,9,27,45,90,180,225,270,405,540,0.6666666666666666,0.7407407407407407,0.7777777777777778,0.7,0.6777777777777778,0.6844444444444444,0.6962962962962963,0.6469135802469136,0.6388888888888888
1,SOXL,1,1,3,8,18,23,27,38,47,1,3,5,10,20,25,30,45,60,1.0,0.3333333333333333,0.6,0.8,0.9,0.92,0.9,0.8444444444444444,0.7833333333333333
2,SMH,1,2,3,5,8,11,13,19,29,1,3,5,10,20,25,30,45,60,1.0,0.6666666666666666,0.6,0.5,0.4,0.44,0.43333333333333335,0.4222222222222222,0.48333333333333334
3,NVDA,1,3,4,8,15,19,24,30,40,1,3,5,10,20,25,30,45,60,1.0,1.0,0.8,0.8,0.75,0.76,0.8,0.6666666666666666,0.6666666666666666
4,MSFT,0,2,3,7,14,17,20,30,40,1,3,5,10,20,25,30,45,60,0.0,0.6666666666666666,0.6,0.7,0.7,0.68,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,GOOGL,0,2,4,7,13,17,21,29,34,1,3,5,10,20,25,30,45,60,0.0,0.6666666666666666,0.8,0.7,0.65,0.68,0.7,0.6444444444444445,0.5666666666666667
6,ORCL,1,3,5,7,12,16,21,30,42,1,3,5,10,20,25,30,45,60,1.0,1.0,1.0,0.7,0.6,0.64,0.7,0.6666666666666666,0.7
7,RKLB,1,3,5,8,14,18,23,30,39,1,3,5,10,20,25,30,45,60,1.0,1.0,1.0,0.8,0.7,0.72,0.7666666666666667,0.6666666666666666,0.65
8,LLY,0,1,3,6,13,16,20,31,42,1,3,5,10,20,25,30,45,60,0.0,0.3333333333333333,0.6,0.6,0.65,0.64,0.6666666666666666,0.6888888888888889,0.7
9,IONQ,1,3,5,7,15,17,19,25,32,1,3,5,10,20,25,30,45,60,1.0,1.0,1.0,0.7,0.75,0.68,0.6333333333333333,0.5555555555555556,0.5333333333333333
